rounds	cycles	latmin	latmax	result
0	2386.33	6	7	2463534242
1	2800.00	9	9	723471715
2	3994.00	14	15	2497366906
3	4991.67	19	20	2064144800
4	5980.67	24	25	2008045182
6	7977.00	34	35	374114282
8	9981.33	44	45	691148861
12	13972.33	64	65	3149294349
16	17974.67	84	86	2495235968
24	26047.33	124	126	101148280
32	34063.00	164	166	4258081829
48	50150.67	244	247	2678912195
64	66227.67	324	328	2925282192
96	98397.33	484	490	3245546148
128	130557.00	644	652	1854283710
192	194835.00	963	975	1491591160
256	259130.00	1284	1297	3442553535
