rounds	cycles	latmin	latmax	result
0	2600.00	7	7	2463534242
1	4595.00	14	14	723471715
2	6561.33	24	24	2497366906
3	8543.00	34	34	2064144800
4	10525.33	44	44	2008045182
6	14516.33	64	64	374114282
8	18507.33	83	85	691148861
12	26507.00	123	125	3149294349
16	34514.67	163	165	2495235968
24	50488.33	242	246	101148280
32	66485.67	322	326	4258081829
48	98424.67	480	487	2678912195
64	130391.33	639	647	2925282192
96	194300.00	957	969	3245546148
128	258172.00	1275	1289	1854283710
192	386041.33	1915	1929	1491591160
256	513854.33	2556	2565	3442553535
