kernel	prog	rep	cycles	prepcyc	latmin	latmax	sig
collatz64	1	6	27790	3200	130	132	0x000006f9
collatz64	1	7	27796	3200	130	132	0x000006f9
collatz64	2	0	27790	3200	130	132	0x000006f9
collatz64	2	1	27784	3200	130	132	0x000006f9
collatz64	2	2	27781	3200	130	132	0x000006f9
collatz64	2	3	27777	3200	130	132	0x000006f9
collatz64	2	4	27788	3200	130	131	0x000006f9
collatz64	2	5	27786	3200	130	132	0x000006f9
collatz64	2	6	27782	3200	130	132	0x000006f9
collatz64	2	7	27792	3200	130	132	0x000006f9
collatz64	3	0	27797	3200	130	132	0x000006f9
collatz64	3	1	27786	3200	130	132	0x000006f9
collatz64	3	2	27779	3200	130	132	0x000006f9
collatz64	3	3	27785	3200	130	132	0x000006f9
collatz64	3	4	27788	3200	130	132	0x000006f9
collatz64	3	5	27796	3200	130	132	0x000006f9
collatz64	3	6	27779	3200	130	132	0x000006f9
collatz64	3	7	27793	3200	130	132	0x000006f9
isprime	0	0	90684	3200	433	439	0x000000ff
isprime	0	1	90690	3200	433	439	0x000000ff
isprime	0	2	90697	3200	433	439	0x000000ff
isprime	0	3	90711	3200	433	439	0x000000ff
isprime	0	4	90704	3200	433	439	0x000000ff
isprime	0	5	90707	3200	433	439	0x000000ff
isprime	0	6	90692	3200	433	439	0x000000ff
isprime	0	7	90707	3200	434	439	0x000000ff
isprime	1	0	90716	3200	433	439	0x000000ff
isprime	1	1	90714	3200	433	439	0x000000ff
isprime	1	2	90709	3200	434	439	0x000000ff
isprime	1	3	90702	3200	433	439	0x000000ff
isprime	1	4	90719	3200	433	439	0x000000ff
isprime	1	5	90711	3200	433	439	0x000000ff
isprime	1	6	90678	3200	433	439	0x000000ff
isprime	1	7	90692	3200	433	439	0x000000ff
isprime	2	0	90716	3200	433	439	0x000000ff
isprime	2	1	90680	3200	433	439	0x000000ff
isprime	2	2	90719	3200	433	439	0x000000ff
isprime	2	3	90734	3200	434	439	0x000000ff
isprime	2	4	90737	3200	433	439	0x000000ff
isprime	2	5	90726	3200	434	439	0x000000ff
isprime	2	6	90718	3200	433	439	0x000000ff
isprime	2	7	90763	3200	434	439	0x000000ff
isprime	3	0	90718	3200	434	439	0x000000ff
isprime	3	1	90706	3200	433	439	0x000000ff
isprime	3	2	90699	3200	433	439	0x000000ff
isprime	3	3	90712	3200	433	439	0x000000ff
isprime	3	4	90706	3200	433	439	0x000000ff
isprime	3	5	90721	3200	434	439	0x000000ff
isprime	3	6	90691	3200	433	439	0x000000ff
isprime	3	7	90685	3200	433	439	0x000000ff
