rounds	cycles	latmin	latmax	result
0	2600.00	7	7	2463534242
1	4595.00	14	14	723471715
2	6560.67	24	24	2497366906
3	8533.00	34	34	2064144800
4	10525.67	44	44	2008045182
6	14516.00	64	64	374114282
8	18514.33	83	85	691148861
12	26501.67	123	125	3149294349
16	34525.00	163	165	2495235968
24	50493.67	242	246	101148280
32	66478.00	322	326	4258081829
48	98429.67	480	487	2678912195
64	130425.00	639	648	2925282192
96	194353.00	958	969	3245546148
128	258315.33	1276	1290	1854283710
192	386042.00	1914	1928	1491591160
256	513884.00	2556	2566	3442553535
